rh.aparc.thicknessstd,rh_bankssts_thicknessstd,rh_caudalanteriorcingulate_thicknessstd,rh_caudalmiddlefrontal_thicknessstd,rh_cuneus_thicknessstd,rh_entorhinal_thicknessstd,rh_fusiform_thicknessstd,rh_inferiorparietal_thicknessstd,rh_inferiortemporal_thicknessstd,rh_isthmuscingulate_thicknessstd,rh_lateraloccipital_thicknessstd,rh_lateralorbitofrontal_thicknessstd,rh_lingual_thicknessstd,rh_medialorbitofrontal_thicknessstd,rh_middletemporal_thicknessstd,rh_parahippocampal_thicknessstd,rh_paracentral_thicknessstd,rh_parsopercularis_thicknessstd,rh_parsorbitalis_thicknessstd,rh_parstriangularis_thicknessstd,rh_pericalcarine_thicknessstd,rh_postcentral_thicknessstd,rh_posteriorcingulate_thicknessstd,rh_precentral_thicknessstd,rh_precuneus_thicknessstd,rh_rostralanteriorcingulate_thicknessstd,rh_rostralmiddlefrontal_thicknessstd,rh_superiorfrontal_thicknessstd,rh_superiorparietal_thicknessstd,rh_superiortemporal_thicknessstd,rh_supramarginal_thicknessstd,rh_frontalpole_thicknessstd,rh_temporalpole_thicknessstd,rh_transversetemporal_thicknessstd,rh_insula_thicknessstd,BrainSegVolNotVent,eTIV
29335,0.435,0.668,0.432,0.518,0.95,0.555,0.576,0.652,0.854,0.549,0.691,0.624,0.898,0.669,0.796,0.652,0.526,0.537,0.513,0.483,0.67,0.807,0.472,0.589,0.76,0.592,0.598,0.507,0.607,0.592,0.771,0.925,0.498,0.664,1134131.0,1385868.931057
29336,0.341,0.608,0.508,0.577,0.674,0.539,0.529,0.638,0.822,0.483,0.81,0.555,0.675,0.591,0.712,0.573,0.532,0.613,0.572,0.44,0.659,0.747,0.567,0.528,0.638,0.545,0.594,0.538,0.593,0.611,0.727,0.98,0.41,0.72,1140483.0,1382949.817483
29337,0.415,0.784,0.551,0.512,0.642,0.647,0.66,0.687,0.817,0.558,0.675,0.711,0.758,0.635,0.595,0.646,0.508,0.736,0.607,0.468,0.659,0.792,0.573,0.594,0.796,0.63,0.678,0.554,0.639,0.657,0.804,0.898,0.41,0.796,1238737.0,1469677.841257
29338,0.51,0.855,0.679,0.448,0.748,0.687,0.622,0.769,0.936,0.657,0.722,0.573,0.663,0.717,0.67,0.612,0.5,0.76,0.637,0.439,0.766,0.879,0.687,0.648,0.705,0.626,0.647,0.594,0.629,0.671,0.645,0.993,0.504,0.736,1300026.0,1568329.486041
29339,0.5,1.021,0.596,0.499,0.941,0.624,0.631,0.737,0.941,0.609,0.7,0.58,0.648,0.684,0.773,0.572,0.568,0.705,0.562,0.522,0.751,0.926,0.616,0.607,0.741,0.57,0.616,0.576,0.639,0.598,0.594,0.873,0.599,0.806,1142334.0,1344324.604391
29340,0.364,0.577,0.577,0.538,0.784,0.557,0.572,0.653,0.893,0.645,0.678,0.625,0.638,0.675,0.534,0.477,0.437,0.653,0.504,0.377,0.683,0.885,0.557,0.562,0.619,0.55,0.581,0.53,0.624,0.564,0.517,0.675,0.549,0.774,1504331.0,1720475.020893
29341,0.337,0.952,0.609,0.621,0.781,0.588,0.644,0.742,1.001,0.613,0.654,0.604,0.677,0.751,0.659,0.633,0.543,0.73,0.625,0.418,0.727,0.887,0.645,0.57,0.865,0.689,0.691,0.605,0.713,0.567,0.565,0.929,0.438,0.754,1384668.0,1657747.846517
29342,0.601,0.831,0.589,0.512,0.619,0.668,0.659,0.72,0.88,0.667,0.688,0.701,0.75,0.686,0.75,0.675,0.445,0.602,0.624,0.505,0.694,0.843,0.624,0.673,0.683,0.59,0.702,0.62,0.583,0.666,0.53,0.994,0.522,0.733,1255497.0,1462374.238468
29343,0.491,0.736,0.504,0.529,0.778,0.625,0.616,0.743,0.862,0.608,0.675,0.642,0.724,0.718,0.656,0.606,0.474,0.724,0.655,0.458,0.688,0.841,0.555,0.589,0.787,0.545,0.625,0.513,0.616,0.609,0.547,0.799,0.62,0.736,1193013.0,1452150.495029
29344,0.471,1.018,0.482,0.49,0.821,0.609,0.503,0.635,0.96,0.642,0.682,0.579,0.707,0.629,0.746,0.541,0.442,0.64,0.522,0.435,0.651,0.966,0.578,0.553,0.731,0.546,0.549,0.51,0.585,0.543,0.497,0.869,0.38,0.635,1195955.0,1465562.305348
29345,0.412,0.98,0.681,0.561,0.985,0.561,0.666,0.693,1.064,0.682,0.773,0.636,0.68,0.777,0.716,0.621,0.622,0.734,0.732,0.411,0.709,0.932,0.607,0.609,0.723,0.757,0.756,0.542,0.704,0.722,0.774,0.764,0.499,0.823,1388980.0,1698101.368667
29346,0.366,0.768,0.48,0.47,0.929,0.536,0.549,0.645,0.848,0.516,0.631,0.584,0.642,0.652,0.74,0.527,0.415,0.576,0.504,0.448,0.654,0.755,0.502,0.604,0.687,0.51,0.532,0.486,0.562,0.576,0.488,1.074,0.41,0.705,1233702.0,1532591.795382
29347,0.367,0.856,0.521,0.505,0.776,0.632,0.614,0.632,0.912,0.56,0.714,0.572,0.783,0.64,0.608,0.613,0.459,0.627,0.509,0.394,0.657,0.865,0.533,0.541,0.659,0.564,0.649,0.626,0.629,0.609,0.507,0.731,0.51,0.841,1322096.0,1592676.796219
29348,0.44,0.828,0.511,0.51,0.777,0.58,0.619,0.663,0.951,0.636,0.781,0.544,0.616,0.637,0.59,0.543,0.592,0.585,0.534,0.376,0.663,0.793,0.548,0.577,0.726,0.541,0.606,0.536,0.65,0.594,0.512,0.816,0.395,0.677,1366080.0,1613430.234842
29349,0.356,0.747,0.549,0.574,0.74,0.564,0.529,0.649,0.952,0.572,0.671,0.498,0.699,0.68,0.739,0.577,0.478,0.629,0.551,0.498,0.696,0.734,0.525,0.543,0.531,0.588,0.602,0.591,0.601,0.595,0.47,0.966,0.352,0.646,1244835.0,1491894.228806
29350,0.434,0.912,0.56,0.587,0.695,0.604,0.611,0.79,0.996,0.612,0.71,0.672,0.725,0.667,0.835,0.617,0.522,0.654,0.622,0.51,0.781,0.921,0.602,0.718,0.606,0.636,0.675,0.647,0.675,0.613,0.739,0.994,0.462,0.709,1294988.0,1546666.967299
29351,0.453,0.891,0.451,0.497,0.853,0.711,0.591,0.726,0.878,0.583,0.67,0.586,0.668,0.718,0.684,0.544,0.434,0.651,0.594,0.459,0.679,0.992,0.603,0.589,0.728,0.59,0.594,0.496,0.647,0.606,0.725,1.001,0.472,0.631,1135378.0,1286836.441878
29352,0.688,0.732,0.703,0.602,1.028,0.757,0.823,0.732,0.807,0.772,0.76,0.673,0.984,0.833,0.909,0.729,0.797,0.799,0.723,0.609,0.709,0.807,0.685,0.698,0.95,0.809,0.956,0.68,0.729,0.777,0.617,1.012,0.549,0.856,1021253.0,1394140.986095
29353,0.481,0.755,0.601,0.561,0.647,0.575,0.569,0.669,0.941,0.587,0.766,0.578,0.691,0.658,0.684,0.521,0.455,0.787,0.626,0.486,0.712,0.853,0.6,0.522,0.759,0.664,0.682,0.562,0.699,0.621,0.719,0.798,0.463,0.76,1216804.0,1521542.085068
29354,0.434,0.787,0.621,0.604,0.646,0.596,0.596,0.67,0.962,0.647,0.817,0.65,0.804,0.734,0.672,0.644,0.607,0.765,0.622,0.562,0.725,0.747,0.59,0.559,0.841,0.68,0.719,0.578,0.676,0.623,0.691,0.962,0.47,0.793,1190661.0,1423049.114437
29355,0.428,0.858,0.515,0.543,0.709,0.549,0.65,0.763,0.812,0.585,0.666,0.531,0.666,0.658,0.61,0.59,0.48,0.614,0.664,0.476,0.65,0.924,0.545,0.56,0.728,0.551,0.585,0.518,0.661,0.615,0.505,0.925,0.434,0.713,1226808.0,1540298.403954
29356,0.374,0.88,0.531,0.544,0.727,0.628,0.647,0.72,0.864,0.598,0.746,0.645,0.791,0.708,0.776,0.617,0.47,0.643,0.6,0.53,0.709,0.844,0.572,0.617,0.716,0.553,0.642,0.615,0.696,0.635,0.833,0.927,0.604,0.749,1253738.0,1598767.934909
29357,0.406,0.696,0.499,0.434,0.873,0.54,0.572,0.674,1.071,0.561,0.706,0.627,0.752,0.605,0.792,0.573,0.447,0.658,0.488,0.483,0.695,0.766,0.498,0.504,0.759,0.631,0.602,0.549,0.561,0.538,0.688,0.969,0.421,0.713,1377464.0,1767715.567185
29358,0.388,0.857,0.477,0.403,0.986,0.626,0.555,0.75,0.92,0.551,0.823,0.731,0.773,0.702,0.923,0.554,0.416,0.636,0.597,0.444,0.647,0.825,0.497,0.631,0.558,0.615,0.633,0.49,0.655,0.607,0.573,1.12,0.327,0.893,1150881.0,1375635.143148
29359,0.421,0.854,0.552,0.552,0.72,0.54,0.595,0.729,0.981,0.504,0.627,0.624,0.66,0.643,0.582,0.548,0.463,0.633,0.499,0.512,0.627,0.899,0.551,0.571,0.574,0.547,0.583,0.528,0.544,0.589,0.551,0.863,0.393,0.822,1359224.0,1629291.780694
29360,0.545,0.786,0.863,0.551,0.664,0.767,0.73,0.843,0.748,0.668,0.94,0.7,0.897,0.83,0.767,0.746,0.689,0.99,0.829,0.633,0.845,0.903,0.759,0.765,0.753,0.781,0.84,0.707,0.828,0.763,0.949,0.692,0.535,1.06,1023871.0,1537564.007684
29361,0.642,0.627,0.678,0.546,0.832,0.686,0.693,0.753,0.842,0.582,0.782,0.567,0.803,0.718,0.74,0.619,0.657,0.779,0.644,0.557,0.683,0.724,0.615,0.693,0.593,0.761,0.745,0.63,0.691,0.715,0.915,0.908,0.469,0.802,1301637.0,1695224.449191
29362,0.471,0.695,0.572,0.522,0.802,0.625,0.648,0.653,0.83,0.538,0.692,0.625,0.891,0.708,0.67,0.712,0.441,0.71,0.612,0.43,0.704,0.831,0.579,0.642,0.68,0.626,0.681,0.56,0.58,0.615,0.771,0.907,0.346,0.8,1291760.0,1592675.088781
29363,0.491,0.791,0.58,0.507,0.981,0.662,0.679,0.768,0.851,0.659,0.802,0.696,1.034,0.752,0.896,0.645,0.592,0.719,0.707,0.51,0.683,0.744,0.623,0.718,0.839,0.702,0.807,0.639,0.722,0.79,0.707,0.885,0.55,0.778,1122856.0,1455829.141535
29364,0.386,0.742,0.504,0.489,0.623,0.656,0.689,0.642,0.884,0.558,0.748,0.602,0.647,0.677,0.717,0.586,0.46,0.764,0.594,0.394,0.529,0.79,0.644,0.641,0.728,0.544,0.605,0.466,0.526,0.617,0.523,0.752,0.449,0.779,999677.0,1298326.360588
29365,0.563,0.767,0.585,0.473,0.63,0.586,0.63,0.739,0.924,0.672,0.852,0.69,0.793,0.733,0.765,0.674,0.539,0.93,0.744,0.44,0.73,0.912,0.606,0.637,0.85,0.725,0.686,0.601,0.727,0.644,0.895,1.056,0.542,0.939,1115848.0,1354478.782361
29366,0.436,0.682,0.48,0.546,0.802,0.623,0.632,0.709,0.98,0.573,0.753,0.666,0.843,0.7,0.64,0.6,0.569,0.776,0.588,0.51,0.783,0.876,0.545,0.639,1.056,0.639,0.626,0.529,0.681,0.635,0.783,0.868,0.491,0.828,1077013.0,1318513.497537
29367,0.52,0.952,0.608,0.569,0.714,0.661,0.588,0.754,0.975,0.625,0.746,0.641,0.702,0.765,0.865,0.649,0.497,0.89,0.806,0.438,0.72,0.987,0.675,0.629,0.825,0.682,0.711,0.625,0.734,0.721,0.689,0.825,0.417,0.819,1412999.0,1768831.437864
29368,0.476,0.753,0.491,0.482,0.887,0.673,0.603,0.72,0.944,0.579,0.705,0.551,0.708,0.597,0.818,0.596,0.517,0.672,0.517,0.392,0.692,0.677,0.546,0.604,0.651,0.566,0.581,0.548,0.598,0.569,0.737,0.917,0.533,0.766,1444029.0,1757547.632071
29369,0.441,0.56,0.648,0.513,0.672,0.613,0.584,0.734,0.963,0.595,0.825,0.661,0.802,0.63,0.797,0.592,0.48,0.681,0.588,0.463,0.658,0.722,0.583,0.54,0.543,0.583,0.596,0.6,0.723,0.654,0.681,0.676,0.348,0.763,1072810.0,1276871.953244
29370,0.614,0.805,0.613,0.485,0.899,0.596,0.698,0.799,0.913,0.547,0.764,0.631,0.839,0.742,0.728,0.622,0.552,0.643,0.665,0.385,0.682,0.864,0.557,0.637,0.623,0.659,0.667,0.612,0.639,0.637,0.866,0.92,0.479,0.91,1201907.0,1473279.496941
29371,0.444,0.851,0.554,0.509,0.904,0.622,0.689,0.636,0.851,0.677,0.851,0.622,0.786,0.66,0.719,0.607,0.615,0.703,0.661,0.48,0.684,0.729,0.611,0.642,0.79,0.579,0.647,0.561,0.674,0.627,0.861,0.8,0.385,0.873,1034844.0,1362977.763644
29372,0.436,0.796,0.59,0.61,0.849,0.678,0.649,0.767,0.933,0.63,0.817,0.711,0.883,0.777,0.788,0.691,0.606,0.775,0.744,0.517,0.675,0.796,0.651,0.715,0.768,0.684,0.726,0.581,0.745,0.675,0.656,0.753,0.589,0.963,1104856.0,1528395.876321
29373,0.45,0.935,0.622,0.539,0.719,0.538,0.634,0.701,0.98,0.572,0.701,0.589,0.687,0.657,0.811,0.581,0.508,0.748,0.704,0.454,0.704,0.835,0.571,0.638,0.831,0.562,0.638,0.579,0.655,0.677,0.781,0.781,0.445,0.695,1126978.0,1317021.058643
29374,0.469,0.902,0.615,0.617,0.784,0.602,0.635,0.699,0.862,0.623,0.75,0.575,0.703,0.777,0.918,0.594,0.631,0.787,0.709,0.536,0.693,0.937,0.677,0.712,0.744,0.693,0.791,0.557,0.703,0.719,0.673,0.974,0.491,0.861,1400137.0,1799852.501532
29375,0.468,0.995,0.646,0.584,0.953,0.601,0.623,0.726,0.956,0.628,0.697,0.656,0.689,0.638,0.748,0.659,0.551,0.66,0.619,0.469,0.719,0.771,0.608,0.613,0.805,0.614,0.704,0.546,0.728,0.738,0.625,0.862,0.54,0.731,1234496.0,1445064.614163
29376,0.529,0.848,0.598,0.663,0.992,0.633,0.576,0.773,0.947,0.619,0.771,0.652,0.765,0.656,0.744,0.547,0.505,0.686,0.783,0.395,0.69,0.913,0.635,0.626,0.703,0.659,0.734,0.561,0.7,0.65,0.573,0.855,0.462,0.815,1335701.0,1569179.438113
29377,0.474,0.64,0.551,0.469,0.709,0.609,0.673,0.799,0.913,0.614,0.74,0.663,0.682,0.676,0.798,0.595,0.531,0.701,0.609,0.522,0.734,0.822,0.589,0.636,0.636,0.576,0.676,0.587,0.659,0.631,0.576,0.863,0.391,0.88,1204493.0,1495173.463117
29378,0.507,0.763,0.689,0.471,0.764,0.587,0.672,0.698,1.003,0.579,0.74,0.662,0.749,0.725,0.739,0.596,0.501,0.662,0.66,0.483,0.696,0.879,0.677,0.627,0.526,0.638,0.698,0.558,0.624,0.698,0.577,0.601,0.371,0.822,1210706.0,1475858.612586
29379,0.48,0.891,0.63,0.574,0.69,0.626,0.621,0.746,0.959,0.631,0.714,0.622,0.722,0.741,0.652,0.66,0.456,0.7,0.577,0.483,0.764,0.903,0.653,0.701,0.761,0.647,0.658,0.623,0.68,0.609,0.602,0.774,0.476,0.708,1342731.0,1613801.792697
29380,0.421,0.849,0.544,0.499,0.719,0.663,0.573,0.701,1.051,0.634,0.751,0.628,0.816,0.7,0.611,0.618,0.52,0.727,0.669,0.527,0.707,0.898,0.532,0.608,0.795,0.599,0.611,0.585,0.609,0.66,0.735,1.02,0.35,0.802,1224799.0,1533127.236703
29381,0.442,0.864,0.509,0.556,0.836,0.607,0.678,0.712,0.808,0.663,0.67,0.602,0.701,0.692,0.71,0.621,0.475,0.752,0.581,0.542,0.732,0.893,0.619,0.589,0.629,0.6,0.634,0.604,0.684,0.559,0.667,0.928,0.505,0.802,1485317.0,1821055.146207
29382,0.58,0.972,0.768,0.568,0.891,0.643,0.743,0.728,0.91,0.601,0.715,0.669,0.784,0.761,0.763,0.658,0.646,0.737,0.671,0.445,0.689,0.767,0.679,0.701,0.953,0.732,0.823,0.634,0.737,0.794,0.576,0.818,0.506,0.828,1116386.0,1301158.707041
29383,0.445,0.803,0.507,0.513,0.828,0.632,0.586,0.783,0.97,0.604,0.754,0.656,0.703,0.656,0.644,0.539,0.47,0.558,0.569,0.401,0.634,0.842,0.706,0.554,0.584,0.548,0.547,0.524,0.61,0.573,0.427,0.84,0.458,0.719,1208148.0,1458617.044973
29384,0.428,0.818,0.583,0.506,0.919,0.633,0.667,0.757,0.975,0.61,0.745,0.602,0.655,0.69,0.647,0.603,0.569,0.748,0.558,0.437,0.726,0.956,0.628,0.638,0.682,0.597,0.629,0.616,0.613,0.6,0.719,0.783,0.599,0.77,1511233.0,1818466.415907
29385,0.41,0.713,0.64,0.481,0.819,0.659,0.64,0.689,0.87,0.575,0.723,0.672,0.762,0.725,0.805,0.668,0.488,0.618,0.585,0.467,0.669,0.872,0.585,0.708,0.492,0.664,0.728,0.535,0.623,0.621,0.772,0.979,0.338,0.807,1318565.0,1685834.27929
29386,0.484,0.458,0.566,0.468,0.645,0.667,0.593,0.623,0.846,0.589,0.552,0.596,0.741,0.638,0.665,0.566,0.533,0.686,0.655,0.541,0.727,0.772,0.587,0.614,0.46,0.565,0.606,0.62,0.595,0.62,0.604,0.955,0.544,0.744,1161960.0,1426403.803853
29387,0.499,0.785,0.644,0.55,0.869,0.658,0.537,0.712,0.885,0.677,0.773,0.57,0.698,0.555,0.748,0.603,0.491,0.613,0.56,0.486,0.699,0.989,0.579,0.567,0.782,0.637,0.673,0.588,0.627,0.595,0.629,0.929,0.685,0.813,1269802.0,1481912.033655
29388,0.565,0.496,0.62,0.661,0.865,0.677,0.684,0.684,0.888,0.616,0.81,0.712,0.659,0.748,0.889,0.634,0.596,0.706,0.674,0.484,0.746,0.643,0.596,0.688,0.648,0.64,0.752,0.553,0.675,0.594,0.686,0.946,0.622,0.67,1200142.0,1478233.599862
29389,0.392,0.612,0.5,0.523,0.793,0.596,0.674,0.73,0.957,0.612,0.747,0.565,0.654,0.691,0.655,0.655,0.48,0.692,0.657,0.461,0.731,0.69,0.58,0.617,0.468,0.587,0.657,0.62,0.634,0.61,0.739,0.824,0.535,0.675,1455008.0,1748802.608094
29390,0.568,0.924,0.536,0.555,0.658,0.762,0.661,0.811,0.828,0.659,0.746,0.777,0.76,0.79,0.724,0.63,0.577,0.852,0.68,0.592,0.679,0.796,0.591,0.629,0.706,0.621,0.676,0.603,0.763,0.641,0.951,0.899,0.625,0.845,1173281.0,1501818.844007
29391,0.62,0.962,0.593,0.612,0.924,0.625,0.671,0.766,1.021,0.596,0.82,0.657,0.981,0.737,0.765,0.669,0.688,0.821,0.697,0.586,0.721,0.914,0.657,0.711,1.053,0.722,0.814,0.675,0.681,0.823,0.559,0.892,0.512,0.958,1253039.0,1587358.861567
29392,0.418,0.742,0.531,0.554,0.72,0.637,0.581,0.705,0.917,0.553,0.681,0.654,0.76,0.736,0.821,0.52,0.473,0.71,0.7,0.49,0.745,0.727,0.573,0.616,0.741,0.614,0.656,0.526,0.668,0.628,0.444,1.01,0.323,0.803,1243271.0,1420033.139799
29393,0.581,0.894,0.65,0.605,0.848,0.7,0.652,0.817,0.969,0.606,0.716,0.579,0.796,0.804,0.776,0.568,0.639,0.69,0.796,0.45,0.682,0.877,0.693,0.713,0.769,0.694,0.782,0.539,0.724,0.731,0.667,0.705,0.557,0.844,1230251.0,1526061.43752
29394,0.623,0.576,0.731,0.719,0.836,0.784,0.706,0.856,0.96,0.665,0.797,0.74,0.968,0.864,0.761,0.745,0.745,0.841,0.721,0.612,0.7,0.723,0.688,0.762,0.661,0.78,0.863,0.667,0.801,0.709,0.623,0.812,0.484,1.107,1179513.0,1572756.928369
29395,0.459,0.746,0.532,0.45,0.637,0.613,0.554,0.687,0.933,0.541,0.629,0.653,0.623,0.601,0.715,0.512,0.43,0.61,0.569,0.416,0.712,0.731,0.528,0.532,0.681,0.518,0.559,0.488,0.569,0.556,0.663,0.709,0.4,0.649,1407733.0,1761647.224477
29396,0.413,0.808,0.559,0.503,0.795,0.571,0.591,0.656,0.809,0.49,0.701,0.604,0.896,0.73,0.887,0.612,0.559,0.655,0.675,0.468,0.694,0.884,0.608,0.581,0.633,0.816,0.719,0.588,0.706,0.596,0.568,0.661,0.449,0.79,1311872.0,1600978.42089
29397,0.395,0.779,0.656,0.583,0.619,0.603,0.637,0.69,0.96,0.555,0.824,0.603,0.713,0.686,0.818,0.585,0.555,0.642,0.602,0.474,0.787,0.913,0.613,0.573,0.63,0.59,0.714,0.569,0.62,0.63,0.721,0.935,0.493,0.88,1289206.0,1551194.345162
29398,0.496,0.708,0.703,0.765,0.0,0.737,0.738,0.805,0.745,0.842,0.828,0.719,0.97,0.759,0.0,0.789,0.713,0.742,0.743,0.819,0.742,0.64,0.722,0.872,0.704,0.825,0.932,0.713,0.679,0.847,0.883,0.766,0.51,0.98,828860.0,1564863.188661
29399,0.5,0.745,0.49,0.493,0.824,0.573,0.609,0.654,0.807,0.624,0.709,0.559,0.742,0.642,0.745,0.567,0.427,0.65,0.557,0.419,0.681,0.831,0.516,0.583,0.72,0.572,0.567,0.57,0.615,0.569,0.628,0.773,0.369,0.818,1166328.0,1406863.177906
29400,0.544,0.805,0.667,0.511,0.784,0.576,0.562,0.741,0.881,0.567,0.743,0.648,0.694,0.675,0.761,0.665,0.521,0.678,0.586,0.44,0.704,0.847,0.589,0.666,0.746,0.573,0.669,0.553,0.644,0.67,0.503,0.736,0.419,0.762,1251647.0,1417445.968441
29401,0.348,0.627,0.545,0.548,0.741,0.597,0.551,0.665,0.901,0.533,0.677,0.659,0.618,0.698,0.634,0.552,0.585,0.641,0.568,0.522,0.688,0.699,0.593,0.577,0.571,0.547,0.611,0.6,0.639,0.675,0.445,0.77,0.523,0.749,1260833.0,1484327.321426
29402,0.412,0.887,0.516,0.522,0.708,0.595,0.601,0.753,0.835,0.59,0.82,0.69,0.785,0.671,0.839,0.545,0.575,0.831,0.558,0.56,0.604,0.731,0.523,0.536,1.122,0.574,0.582,0.535,0.663,0.575,0.674,0.713,0.63,0.834,1038145.0,1240676.745991
29403,0.447,0.881,0.655,0.534,0.841,0.639,0.59,0.673,0.894,0.569,0.707,0.567,0.685,0.663,0.763,0.66,0.611,0.785,0.632,0.472,0.63,0.83,0.609,0.594,0.607,0.61,0.567,0.551,0.658,0.582,0.582,0.685,0.639,0.812,1159632.0,1488282.418836
29404,0.474,0.771,0.665,0.538,0.769,0.643,0.682,0.749,0.988,0.639,0.775,0.673,0.695,0.768,0.729,0.637,0.551,0.693,0.641,0.519,0.733,0.835,0.642,0.642,0.839,0.681,0.765,0.631,0.668,0.696,0.758,1.072,0.407,0.861,1270097.0,1539899.842414
29405,0.487,0.846,0.506,0.557,0.733,0.651,0.608,0.745,1.019,0.527,0.752,0.603,0.638,0.694,0.66,0.55,0.518,0.718,0.642,0.501,0.723,0.868,0.549,0.581,0.698,0.567,0.584,0.534,0.721,0.64,0.718,0.865,0.74,0.786,1292207.0,1518925.065781
29407,0.435,1.01,0.66,0.46,0.71,0.594,0.596,0.699,0.879,0.524,0.811,0.537,0.781,0.61,0.827,0.556,0.514,0.794,0.591,0.474,0.725,0.736,0.553,0.616,0.81,0.613,0.649,0.576,0.709,0.581,0.858,0.797,0.53,0.798,1095378.0,1310680.515207
29408,0.509,0.788,0.722,0.568,0.909,0.812,0.72,0.763,0.832,0.647,0.714,0.756,0.878,0.749,0.831,0.649,0.552,0.819,0.622,0.543,0.784,0.751,0.701,0.684,0.695,0.709,0.784,0.612,0.656,0.68,0.688,1.149,0.484,0.849,1221191.0,1670616.036772
29409,0.578,0.871,0.546,0.512,0.788,0.591,0.633,0.712,0.948,0.566,0.807,0.682,0.785,0.783,0.784,0.536,0.533,0.722,0.583,0.511,0.677,0.992,0.541,0.608,0.723,0.69,0.586,0.602,0.67,0.683,0.603,0.891,0.473,0.828,1221184.0,1439069.111102
29410,0.502,0.745,0.583,0.55,0.829,0.626,0.636,0.713,0.936,0.585,0.694,0.64,0.843,0.718,0.828,0.697,0.63,0.728,0.788,0.442,0.686,0.838,0.619,0.652,0.689,0.746,0.732,0.599,0.665,0.697,0.689,0.876,0.579,0.885,1242093.0,1516017.694385
29411,0.459,0.75,0.616,0.53,0.624,0.639,0.699,0.636,0.936,0.611,0.771,0.593,0.817,0.746,0.724,0.521,0.662,0.824,0.563,0.524,0.691,0.991,0.615,0.614,0.937,0.597,0.694,0.577,0.662,0.683,0.628,0.83,0.637,0.811,1015881.0,1310093.569939
29412,0.519,0.913,0.557,0.565,0.941,0.577,0.597,0.754,1.021,0.556,0.765,0.656,0.762,0.763,0.749,0.549,0.613,0.784,0.613,0.498,0.725,0.905,0.635,0.62,0.715,0.613,0.678,0.599,0.774,0.67,0.95,1.011,0.44,0.836,1070302.0,1350634.90044
29413,0.525,0.991,0.609,0.556,0.949,0.601,0.692,0.767,0.902,0.593,0.701,0.61,0.903,0.716,0.642,0.581,0.584,0.734,0.688,0.488,0.722,0.954,0.579,0.667,0.857,0.697,0.734,0.587,0.689,0.62,0.734,0.985,0.456,0.831,1175290.0,1489017.816704
29414,0.513,0.723,0.664,0.601,0.648,0.663,0.694,0.764,1.012,0.715,0.852,0.683,0.882,0.757,0.733,0.661,0.596,0.847,0.709,0.51,0.688,0.824,0.693,0.684,0.888,0.702,0.798,0.659,0.807,0.655,0.838,1.065,0.467,0.833,1316997.0,1596734.985418
29415,0.498,0.84,0.574,0.393,0.637,0.604,0.635,0.723,0.902,0.619,0.774,0.593,0.751,0.769,0.625,0.497,0.522,0.664,0.557,0.437,0.657,0.947,0.603,0.601,0.94,0.59,0.635,0.563,0.654,0.627,0.628,0.988,0.389,0.716,1312083.0,1538131.883395
29416,0.669,0.769,0.777,0.622,0.914,0.74,0.759,0.849,1.094,0.713,0.806,0.815,0.981,0.84,0.727,0.73,0.651,0.806,0.819,0.579,0.702,1.031,0.631,0.716,0.871,0.755,0.836,0.672,0.778,0.753,0.974,0.831,0.622,0.927,1047550.0,1413954.471492
29417,0.551,0.811,0.66,0.56,0.878,0.621,0.672,0.714,0.918,0.622,0.79,0.626,0.8,0.704,0.845,0.571,0.602,0.667,0.724,0.479,0.627,0.935,0.61,0.744,0.744,0.685,0.793,0.602,0.657,0.63,0.75,0.92,0.558,0.769,1108648.0,1326235.059185
29418,0.622,0.746,0.662,0.595,0.841,0.6,0.745,0.717,1.011,0.701,0.877,0.686,0.867,0.769,0.719,0.622,0.643,0.806,0.71,0.459,0.639,1.048,0.627,0.614,0.721,0.768,0.784,0.707,0.788,0.742,0.926,0.796,0.557,0.879,1375009.0,1689486.830558
29419,0.473,0.885,0.599,0.555,0.837,0.575,0.642,0.777,0.9,0.602,0.717,0.647,0.759,0.691,0.563,0.566,0.571,0.87,0.57,0.568,0.701,0.944,0.535,0.568,0.871,0.698,0.627,0.617,0.623,0.714,0.85,0.905,0.533,0.782,1128176.0,1357958.012596
29420,0.503,0.824,0.61,0.565,0.743,0.557,0.675,0.654,0.834,0.62,0.707,0.614,0.687,0.602,0.798,0.704,0.633,0.731,0.619,0.485,0.734,0.883,0.576,0.628,0.601,0.579,0.61,0.634,0.652,0.609,0.619,0.821,0.377,0.631,1172889.0,1312196.856814
29421,0.454,0.921,0.511,0.483,0.609,0.67,0.62,0.79,0.908,0.64,0.782,0.666,0.69,0.623,0.762,0.632,0.506,0.593,0.54,0.515,0.688,0.947,0.585,0.641,0.745,0.603,0.638,0.565,0.647,0.57,0.714,0.737,0.579,0.747,1159491.0,1400893.619752
29422,0.498,0.658,0.607,0.491,0.832,0.679,0.641,0.74,0.839,0.55,0.73,0.655,0.672,0.643,0.719,0.573,0.499,0.756,0.656,0.554,0.629,0.764,0.55,0.628,0.634,0.669,0.631,0.626,0.768,0.57,0.66,0.937,0.56,0.825,1178657.0,1431278.042124
29423,0.522,0.934,0.633,0.514,0.829,0.579,0.696,0.71,0.855,0.591,0.778,0.657,0.865,0.673,0.764,0.617,0.552,0.765,0.612,0.417,0.723,0.782,0.617,0.733,0.876,0.641,0.694,0.628,0.627,0.689,0.844,0.757,0.352,0.84,1087323.0,1328792.565126
