rh.aparc.gauscurv,rh_bankssts_gauscurv,rh_caudalanteriorcingulate_gauscurv,rh_caudalmiddlefrontal_gauscurv,rh_cuneus_gauscurv,rh_entorhinal_gauscurv,rh_fusiform_gauscurv,rh_inferiorparietal_gauscurv,rh_inferiortemporal_gauscurv,rh_isthmuscingulate_gauscurv,rh_lateraloccipital_gauscurv,rh_lateralorbitofrontal_gauscurv,rh_lingual_gauscurv,rh_medialorbitofrontal_gauscurv,rh_middletemporal_gauscurv,rh_parahippocampal_gauscurv,rh_paracentral_gauscurv,rh_parsopercularis_gauscurv,rh_parsorbitalis_gauscurv,rh_parstriangularis_gauscurv,rh_pericalcarine_gauscurv,rh_postcentral_gauscurv,rh_posteriorcingulate_gauscurv,rh_precentral_gauscurv,rh_precuneus_gauscurv,rh_rostralanteriorcingulate_gauscurv,rh_rostralmiddlefrontal_gauscurv,rh_superiorfrontal_gauscurv,rh_superiorparietal_gauscurv,rh_superiortemporal_gauscurv,rh_supramarginal_gauscurv,rh_frontalpole_gauscurv,rh_temporalpole_gauscurv,rh_transversetemporal_gauscurv,rh_insula_gauscurv,BrainSegVolNotVent,eTIV
29247,0.022,0.026,0.026,0.042,0.041,0.033,0.029,0.036,0.026,0.038,0.043,0.041,0.039,0.028,0.03,0.027,0.031,0.038,0.029,0.044,0.025,0.025,0.027,0.029,0.04,0.032,0.032,0.028,0.027,0.028,0.05,0.032,0.038,0.038,1122899.0,1442339.939505
29248,0.018,0.028,0.023,0.044,0.028,0.029,0.028,0.033,0.029,0.045,0.036,0.045,0.034,0.03,0.024,0.027,0.029,0.03,0.027,0.042,0.028,0.026,0.025,0.03,0.039,0.029,0.031,0.028,0.024,0.029,0.04,0.044,0.041,0.028,1176250.0,1355374.570457
29249,0.018,0.018,0.024,0.04,0.027,0.027,0.028,0.028,0.028,0.033,0.042,0.048,0.039,0.023,0.023,0.028,0.024,0.038,0.029,0.04,0.03,0.029,0.025,0.025,0.032,0.034,0.029,0.028,0.022,0.025,0.055,0.029,0.03,0.032,1268368.0,1501256.773147
29250,0.021,0.025,0.028,0.043,0.026,0.031,0.027,0.031,0.037,0.036,0.033,0.051,0.04,0.031,0.036,0.03,0.03,0.036,0.036,0.042,0.03,0.024,0.027,0.028,0.038,0.036,0.032,0.031,0.025,0.032,0.059,0.058,0.045,0.033,1162398.0,1443174.245214
29251,0.018,0.029,0.019,0.036,0.022,0.028,0.026,0.031,0.025,0.034,0.034,0.035,0.034,0.022,0.024,0.022,0.02,0.036,0.021,0.027,0.022,0.02,0.023,0.025,0.027,0.028,0.026,0.025,0.02,0.024,0.06,0.04,0.022,0.028,1189657.0,1442365.654823
29252,0.022,0.022,0.029,0.044,0.037,0.032,0.027,0.028,0.031,0.041,0.04,0.042,0.034,0.027,0.033,0.026,0.025,0.034,0.03,0.044,0.024,0.032,0.025,0.029,0.03,0.035,0.029,0.026,0.023,0.026,0.043,0.04,0.037,0.032,1179717.0,1458696.205237
29253,0.018,0.029,0.026,0.041,0.056,0.032,0.033,0.031,0.031,0.041,0.042,0.048,0.042,0.029,0.032,0.028,0.03,0.044,0.028,0.046,0.03,0.034,0.026,0.034,0.039,0.033,0.03,0.034,0.029,0.03,0.049,0.052,0.033,0.034,1038853.0,1318735.872661
29254,0.02,0.022,0.025,0.053,0.041,0.031,0.03,0.029,0.027,0.035,0.037,0.048,0.037,0.028,0.023,0.026,0.029,0.033,0.029,0.043,0.026,0.032,0.024,0.03,0.03,0.033,0.03,0.028,0.022,0.028,0.051,0.035,0.038,0.028,1061692.0,1271081.841667
29273,0.014,0.021,0.021,0.026,0.022,0.031,0.022,0.027,0.024,0.028,0.031,0.031,0.047,0.024,0.029,0.017,0.018,0.036,0.024,0.027,0.021,0.028,0.017,0.024,0.02,0.027,0.026,0.023,0.019,0.021,0.034,0.048,0.027,0.027,1110440.0,1310036.017514
29274,0.02,0.029,0.03,0.034,0.043,0.035,0.034,0.037,0.028,0.034,0.041,0.037,0.051,0.031,0.047,0.042,0.037,0.046,0.035,0.036,0.04,0.029,0.031,0.033,0.031,0.038,0.033,0.032,0.026,0.031,0.063,0.06,0.041,0.032,1210096.0,1471474.54401
29275,0.016,0.025,0.017,0.031,0.04,0.026,0.022,0.025,0.03,0.028,0.033,0.037,0.043,0.025,0.019,0.017,0.02,0.033,0.023,0.023,0.02,0.023,0.019,0.022,0.033,0.025,0.022,0.022,0.019,0.023,0.028,0.054,0.03,0.029,1205814.0,1470216.377986
29276,0.02,0.021,0.02,0.033,0.047,0.031,0.024,0.026,0.031,0.032,0.042,0.036,0.045,0.027,0.038,0.024,0.024,0.028,0.031,0.034,0.026,0.033,0.02,0.025,0.031,0.033,0.026,0.026,0.029,0.025,0.094,0.045,0.034,0.034,1191151.0,1421360.248757
29277,0.019,0.019,0.017,0.03,0.029,0.033,0.024,0.031,0.034,0.03,0.032,0.034,0.035,0.025,0.024,0.017,0.02,0.023,0.021,0.036,0.021,0.023,0.019,0.026,0.02,0.025,0.023,0.023,0.021,0.026,0.033,0.04,0.032,0.035,1127251.0,1386647.52199
29278,0.02,0.024,0.024,0.028,0.043,0.026,0.02,0.028,0.025,0.025,0.035,0.028,0.028,0.022,0.024,0.016,0.023,0.027,0.02,0.023,0.017,0.025,0.019,0.022,0.031,0.028,0.024,0.022,0.016,0.021,0.029,0.048,0.025,0.027,1162624.0,1361341.294987
29279,0.025,0.02,0.023,0.041,0.041,0.028,0.027,0.032,0.037,0.032,0.038,0.034,0.042,0.028,0.027,0.022,0.032,0.051,0.034,0.035,0.025,0.029,0.025,0.03,0.046,0.04,0.032,0.026,0.02,0.029,0.061,0.045,0.037,0.041,1208138.0,1426664.188754
29280,0.014,0.016,0.022,0.027,0.045,0.03,0.026,0.037,0.024,0.03,0.034,0.033,0.031,0.028,0.018,0.016,0.022,0.028,0.025,0.034,0.024,0.02,0.02,0.024,0.034,0.027,0.025,0.024,0.026,0.021,0.028,0.059,0.026,0.033,1335879.0,1610563.912444
29281,0.023,0.024,0.027,0.043,0.034,0.029,0.033,0.033,0.027,0.033,0.043,0.036,0.04,0.035,0.023,0.025,0.029,0.034,0.024,0.031,0.032,0.028,0.025,0.026,0.037,0.031,0.027,0.027,0.026,0.029,0.048,0.072,0.035,0.045,1186056.0,1466217.925963
29282,0.024,0.035,0.043,0.064,0.071,0.042,0.044,0.055,0.043,0.057,0.046,0.068,0.042,0.048,0.03,0.054,0.049,0.062,0.037,0.061,0.041,0.034,0.033,0.043,0.049,0.052,0.048,0.055,0.041,0.047,0.095,0.084,0.042,0.036,1131913.0,1639842.623135
29283,0.017,0.017,0.023,0.038,0.05,0.028,0.024,0.025,0.031,0.029,0.033,0.033,0.034,0.021,0.022,0.026,0.021,0.034,0.023,0.027,0.028,0.026,0.02,0.029,0.036,0.03,0.025,0.023,0.017,0.024,0.057,0.036,0.019,0.031,1336548.0,1665457.218001
29284,0.018,0.025,0.021,0.036,0.031,0.025,0.026,0.025,0.026,0.03,0.035,0.038,0.034,0.024,0.018,0.021,0.023,0.037,0.027,0.028,0.024,0.025,0.022,0.026,0.026,0.032,0.028,0.025,0.022,0.025,0.048,0.041,0.028,0.03,1215771.0,1519761.871152
29285,0.021,0.03,0.045,0.046,0.076,0.035,0.031,0.041,0.032,0.035,0.067,0.045,0.052,0.035,0.032,0.029,0.041,0.06,0.04,0.04,0.034,0.033,0.035,0.03,0.048,0.046,0.04,0.034,0.04,0.037,0.07,0.068,0.049,0.04,1207442.0,1549302.394916
29286,0.016,0.026,0.019,0.032,0.047,0.028,0.024,0.031,0.028,0.03,0.032,0.034,0.038,0.024,0.028,0.017,0.018,0.028,0.019,0.036,0.022,0.028,0.022,0.025,0.046,0.024,0.025,0.026,0.02,0.023,0.055,0.058,0.03,0.028,1352161.0,1645238.852732
29287,0.014,0.019,0.021,0.032,0.044,0.032,0.022,0.031,0.028,0.025,0.04,0.039,0.039,0.027,0.036,0.02,0.029,0.038,0.033,0.034,0.023,0.026,0.023,0.023,0.037,0.03,0.028,0.023,0.022,0.024,0.066,0.075,0.034,0.026,1185786.0,1427240.087658
29288,0.025,0.023,0.025,0.039,0.066,0.028,0.025,0.031,0.033,0.035,0.039,0.032,0.034,0.027,0.029,0.022,0.023,0.046,0.028,0.028,0.027,0.025,0.026,0.024,0.032,0.029,0.029,0.025,0.024,0.026,0.039,0.053,0.026,0.035,1438835.0,1816492.792668
29289,0.017,0.023,0.02,0.036,0.045,0.025,0.02,0.04,0.028,0.026,0.04,0.037,0.032,0.023,0.02,0.02,0.023,0.03,0.025,0.032,0.016,0.029,0.017,0.023,0.036,0.027,0.025,0.023,0.021,0.023,0.052,0.063,0.029,0.03,1238577.0,1495787.118416
29290,0.024,0.028,0.036,0.045,0.087,0.045,0.033,0.053,0.036,0.044,0.049,0.043,0.046,0.047,0.031,0.034,0.038,0.057,0.036,0.042,0.035,0.037,0.035,0.035,0.039,0.05,0.044,0.039,0.047,0.042,0.078,0.087,0.046,0.046,1132768.0,1478629.104117
29291,0.017,0.017,0.021,0.037,0.037,0.03,0.026,0.036,0.031,0.032,0.04,0.036,0.036,0.026,0.023,0.027,0.024,0.037,0.026,0.031,0.025,0.021,0.023,0.026,0.035,0.039,0.03,0.026,0.02,0.027,0.043,0.057,0.031,0.028,1178212.0,1431313.769509
29292,0.033,0.029,0.047,0.063,0.071,0.046,0.048,0.041,0.047,0.055,0.053,0.055,0.056,0.041,0.039,0.042,0.043,0.057,0.044,0.046,0.047,0.036,0.044,0.052,0.064,0.053,0.047,0.049,0.05,0.051,0.098,0.062,0.065,0.034,1035337.0,1356880.77678
29293,0.022,0.02,0.038,0.038,0.044,0.038,0.033,0.036,0.036,0.039,0.043,0.04,0.041,0.034,0.034,0.031,0.036,0.044,0.039,0.028,0.031,0.038,0.032,0.031,0.027,0.045,0.038,0.032,0.029,0.035,0.08,0.061,0.049,0.039,1101312.0,1355958.244692
29294,0.019,0.019,0.02,0.033,0.041,0.027,0.022,0.028,0.025,0.026,0.042,0.034,0.026,0.021,0.027,0.02,0.02,0.031,0.023,0.035,0.024,0.024,0.019,0.02,0.028,0.023,0.021,0.02,0.021,0.021,0.029,0.04,0.024,0.026,1208144.0,1475909.663182
29295,0.027,0.029,0.043,0.058,0.059,0.051,0.045,0.049,0.05,0.052,0.041,0.062,0.046,0.046,0.052,0.037,0.044,0.05,0.037,0.044,0.051,0.048,0.046,0.039,0.033,0.046,0.049,0.037,0.04,0.043,0.068,0.072,0.072,0.034,1067894.0,1478204.851463
29296,0.023,0.022,0.02,0.036,0.069,0.03,0.023,0.029,0.031,0.03,0.042,0.034,0.03,0.023,0.034,0.019,0.022,0.036,0.026,0.03,0.025,0.025,0.022,0.024,0.038,0.027,0.021,0.022,0.026,0.025,0.038,0.058,0.033,0.032,1153604.0,1388882.898934
29297,0.016,0.021,0.019,0.031,0.024,0.028,0.02,0.029,0.028,0.028,0.037,0.031,0.036,0.022,0.028,0.016,0.022,0.034,0.024,0.027,0.02,0.025,0.018,0.022,0.034,0.027,0.023,0.022,0.019,0.023,0.037,0.056,0.019,0.023,1078150.0,1306137.933766
29298,0.016,0.021,0.019,0.034,0.031,0.024,0.022,0.023,0.026,0.029,0.031,0.033,0.037,0.021,0.017,0.019,0.018,0.028,0.022,0.031,0.019,0.025,0.017,0.022,0.025,0.027,0.024,0.023,0.019,0.02,0.039,0.04,0.025,0.03,1132978.0,1369202.976477
29299,0.017,0.017,0.022,0.032,0.03,0.024,0.023,0.032,0.028,0.028,0.036,0.034,0.047,0.023,0.025,0.019,0.028,0.032,0.026,0.027,0.021,0.025,0.018,0.021,0.03,0.028,0.026,0.022,0.018,0.022,0.066,0.034,0.026,0.031,1027711.0,1192115.44235
29300,0.015,0.025,0.018,0.033,0.04,0.031,0.025,0.034,0.028,0.027,0.032,0.028,0.031,0.026,0.023,0.018,0.022,0.028,0.026,0.031,0.022,0.026,0.02,0.023,0.025,0.026,0.024,0.023,0.019,0.02,0.044,0.034,0.021,0.024,1189638.0,1428552.984109
29301,0.014,0.024,0.021,0.032,0.028,0.031,0.023,0.031,0.028,0.03,0.036,0.034,0.033,0.023,0.021,0.021,0.021,0.034,0.025,0.025,0.024,0.027,0.018,0.026,0.044,0.026,0.024,0.024,0.019,0.023,0.046,0.038,0.027,0.027,1213074.0,1386286.046373
29302,0.017,0.021,0.028,0.037,0.033,0.039,0.027,0.028,0.032,0.028,0.038,0.031,0.03,0.026,0.029,0.025,0.027,0.035,0.024,0.025,0.025,0.026,0.025,0.026,0.031,0.031,0.033,0.024,0.026,0.03,0.024,0.047,0.044,0.038,1274658.0,1629449.201084
29303,0.021,0.023,0.026,0.033,0.047,0.031,0.027,0.04,0.026,0.032,0.042,0.038,0.037,0.028,0.031,0.024,0.029,0.036,0.035,0.032,0.027,0.025,0.028,0.031,0.036,0.041,0.033,0.029,0.027,0.032,0.046,0.061,0.045,0.03,1242610.0,1504207.709766
29304,0.014,0.017,0.02,0.03,0.046,0.025,0.024,0.03,0.023,0.028,0.034,0.03,0.033,0.023,0.022,0.019,0.023,0.035,0.031,0.03,0.021,0.022,0.017,0.022,0.029,0.03,0.025,0.022,0.017,0.022,0.036,0.031,0.02,0.033,1232010.0,1477858.621386
29305,0.022,0.02,0.023,0.036,0.052,0.03,0.025,0.028,0.02,0.032,0.033,0.033,0.031,0.024,0.019,0.021,0.025,0.038,0.029,0.03,0.021,0.025,0.019,0.026,0.03,0.026,0.026,0.022,0.02,0.021,0.034,0.055,0.03,0.033,1206230.0,1538625.859381
29306,0.013,0.018,0.02,0.032,0.044,0.028,0.02,0.026,0.023,0.026,0.034,0.029,0.03,0.022,0.019,0.021,0.021,0.027,0.019,0.031,0.019,0.026,0.018,0.022,0.029,0.026,0.023,0.02,0.018,0.021,0.031,0.043,0.029,0.031,1310727.0,1528822.400508
29307,0.016,0.024,0.022,0.038,0.044,0.032,0.028,0.028,0.028,0.032,0.036,0.036,0.036,0.025,0.029,0.021,0.024,0.041,0.031,0.026,0.027,0.024,0.023,0.026,0.031,0.026,0.029,0.028,0.02,0.028,0.062,0.067,0.035,0.032,1217146.0,1454291.564277
29308,0.01,0.021,0.024,0.03,0.051,0.028,0.022,0.033,0.029,0.031,0.036,0.034,0.036,0.024,0.024,0.02,0.021,0.035,0.023,0.036,0.023,0.025,0.022,0.026,0.038,0.032,0.031,0.024,0.021,0.025,0.07,0.063,0.04,0.034,1334375.0,1614001.18522
29309,0.02,0.019,0.025,0.035,0.022,0.028,0.027,0.028,0.027,0.03,0.036,0.033,0.04,0.025,0.02,0.024,0.024,0.027,0.025,0.03,0.024,0.027,0.022,0.027,0.029,0.031,0.031,0.028,0.021,0.025,0.048,0.051,0.025,0.025,1124315.0,1372184.101915
29310,0.016,0.019,0.023,0.028,0.042,0.03,0.02,0.027,0.025,0.026,0.038,0.031,0.033,0.024,0.03,0.019,0.019,0.028,0.026,0.029,0.021,0.022,0.021,0.021,0.037,0.025,0.027,0.02,0.02,0.025,0.037,0.043,0.03,0.05,1337092.0,1536907.652869
29311,0.02,0.031,0.032,0.046,0.059,0.033,0.025,0.031,0.042,0.033,0.057,0.039,0.042,0.03,0.031,0.033,0.033,0.036,0.026,0.036,0.032,0.032,0.031,0.031,0.035,0.034,0.037,0.033,0.032,0.029,0.057,0.07,0.046,0.042,1222290.0,1520576.111997
29312,0.015,0.019,0.021,0.03,0.031,0.027,0.022,0.032,0.024,0.025,0.037,0.032,0.041,0.02,0.026,0.02,0.02,0.026,0.017,0.032,0.021,0.026,0.02,0.022,0.036,0.028,0.025,0.02,0.016,0.023,0.046,0.04,0.024,0.027,1136465.0,1392683.887619
29313,0.017,0.021,0.021,0.03,0.04,0.034,0.021,0.029,0.026,0.027,0.041,0.032,0.036,0.023,0.023,0.021,0.027,0.03,0.024,0.032,0.021,0.024,0.021,0.024,0.031,0.028,0.03,0.025,0.019,0.019,0.038,0.054,0.025,0.031,1365341.0,1607545.178573
29314,0.019,0.02,0.022,0.037,0.043,0.032,0.024,0.026,0.024,0.032,0.037,0.039,0.041,0.025,0.022,0.021,0.019,0.029,0.024,0.035,0.023,0.029,0.022,0.028,0.029,0.027,0.026,0.024,0.02,0.026,0.047,0.074,0.026,0.026,1258853.0,1511996.686988
29315,0.016,0.02,0.027,0.029,0.046,0.027,0.02,0.031,0.029,0.029,0.035,0.033,0.039,0.026,0.03,0.021,0.024,0.037,0.028,0.038,0.025,0.023,0.026,0.023,0.026,0.036,0.028,0.023,0.022,0.022,0.053,0.065,0.049,0.034,1032371.0,1215534.510622
29316,0.012,0.02,0.023,0.038,0.051,0.024,0.022,0.028,0.028,0.03,0.035,0.032,0.032,0.023,0.028,0.02,0.025,0.035,0.023,0.034,0.022,0.027,0.021,0.023,0.022,0.029,0.027,0.024,0.022,0.024,0.052,0.037,0.032,0.026,1351461.0,1641729.399914
29317,0.021,0.022,0.019,0.036,0.042,0.032,0.025,0.03,0.024,0.028,0.037,0.036,0.038,0.024,0.021,0.023,0.019,0.029,0.026,0.032,0.023,0.025,0.019,0.026,0.028,0.03,0.026,0.022,0.022,0.026,0.03,0.04,0.028,0.031,1190863.0,1428808.03303
29318,0.015,0.027,0.024,0.035,0.048,0.025,0.027,0.037,0.025,0.032,0.039,0.044,0.035,0.025,0.041,0.025,0.026,0.036,0.025,0.028,0.026,0.028,0.021,0.03,0.014,0.034,0.027,0.029,0.022,0.023,0.078,0.063,0.027,0.034,1001056.0,1200880.757455
29319,0.02,0.026,0.024,0.036,0.056,0.032,0.025,0.031,0.023,0.03,0.04,0.033,0.037,0.026,0.027,0.019,0.025,0.032,0.025,0.03,0.022,0.024,0.019,0.025,0.028,0.03,0.029,0.025,0.023,0.023,0.052,0.054,0.036,0.039,1158576.0,1404396.744691
29320,0.016,0.023,0.026,0.035,0.05,0.033,0.03,0.032,0.037,0.034,0.045,0.035,0.043,0.031,0.032,0.027,0.029,0.037,0.026,0.027,0.026,0.03,0.023,0.03,0.039,0.034,0.035,0.03,0.026,0.028,0.064,0.062,0.025,0.036,1107972.0,1274226.702932
29321,0.018,0.019,0.019,0.031,0.029,0.022,0.022,0.03,0.026,0.027,0.03,0.03,0.025,0.02,0.024,0.019,0.021,0.035,0.019,0.03,0.022,0.022,0.019,0.025,0.025,0.031,0.023,0.023,0.016,0.025,0.037,0.036,0.022,0.03,1256608.0,1499270.000517
29322,0.014,0.021,0.021,0.026,0.022,0.031,0.022,0.027,0.024,0.028,0.031,0.031,0.047,0.024,0.029,0.017,0.018,0.036,0.024,0.027,0.021,0.028,0.017,0.024,0.02,0.027,0.026,0.023,0.019,0.021,0.034,0.048,0.027,0.027,1110440.0,1310036.017514
29323,0.016,0.024,0.024,0.036,0.044,0.028,0.023,0.026,0.027,0.025,0.039,0.033,0.025,0.023,0.015,0.019,0.018,0.021,0.023,0.035,0.02,0.023,0.023,0.024,0.029,0.026,0.027,0.026,0.019,0.024,0.038,0.05,0.021,0.025,1359562.0,1600118.12244
29324,0.015,0.016,0.021,0.026,0.022,0.02,0.021,0.026,0.024,0.029,0.037,0.034,0.029,0.021,0.017,0.019,0.024,0.03,0.025,0.03,0.018,0.018,0.017,0.019,0.03,0.026,0.025,0.02,0.018,0.024,0.032,0.034,0.026,0.032,1418650.0,1634585.490792
29325,0.012,0.018,0.019,0.027,0.031,0.023,0.02,0.028,0.019,0.026,0.028,0.033,0.035,0.02,0.02,0.018,0.017,0.028,0.019,0.025,0.019,0.02,0.018,0.022,0.032,0.023,0.022,0.021,0.018,0.022,0.039,0.059,0.025,0.026,1359924.0,1692862.159368
29326,0.02,0.019,0.022,0.031,0.025,0.024,0.024,0.028,0.029,0.033,0.037,0.033,0.034,0.02,0.025,0.024,0.02,0.028,0.025,0.034,0.022,0.026,0.021,0.024,0.035,0.029,0.027,0.023,0.02,0.029,0.053,0.043,0.027,0.033,1278460.0,1578217.333
29327,0.013,0.015,0.022,0.037,0.029,0.027,0.024,0.031,0.026,0.03,0.039,0.037,0.033,0.025,0.024,0.023,0.02,0.032,0.025,0.031,0.022,0.028,0.022,0.026,0.036,0.03,0.027,0.026,0.02,0.023,0.05,0.046,0.03,0.039,1267663.0,1615758.47754
29328,0.021,0.024,0.026,0.035,0.039,0.03,0.022,0.029,0.03,0.029,0.034,0.037,0.038,0.023,0.03,0.021,0.027,0.031,0.025,0.035,0.023,0.029,0.019,0.027,0.032,0.031,0.029,0.026,0.022,0.028,0.042,0.05,0.031,0.037,1304173.0,1578767.442335
29329,0.017,0.018,0.019,0.03,0.024,0.025,0.022,0.023,0.028,0.027,0.035,0.029,0.031,0.021,0.022,0.022,0.019,0.03,0.02,0.022,0.021,0.025,0.019,0.024,0.033,0.025,0.025,0.021,0.016,0.023,0.057,0.036,0.026,0.027,1175789.0,1473226.503138
29330,0.019,0.024,0.027,0.041,0.06,0.032,0.03,0.037,0.035,0.031,0.041,0.032,0.044,0.031,0.02,0.03,0.034,0.04,0.03,0.031,0.029,0.031,0.027,0.031,0.042,0.041,0.035,0.035,0.035,0.032,0.074,0.072,0.036,0.041,1228161.0,1489099.36137
29331,0.017,0.018,0.028,0.036,0.05,0.035,0.026,0.038,0.031,0.03,0.035,0.038,0.04,0.029,0.03,0.024,0.023,0.031,0.021,0.036,0.024,0.023,0.028,0.029,0.034,0.036,0.032,0.026,0.023,0.027,0.048,0.033,0.034,0.034,1142194.0,1400669.687195
29332,0.019,0.019,0.021,0.035,0.045,0.026,0.024,0.023,0.022,0.028,0.036,0.033,0.025,0.021,0.02,0.02,0.019,0.027,0.023,0.032,0.02,0.022,0.017,0.024,0.035,0.029,0.024,0.021,0.021,0.022,0.037,0.032,0.028,0.029,1250995.0,1527134.14189
29333,0.019,0.019,0.022,0.036,0.052,0.026,0.025,0.028,0.026,0.027,0.034,0.037,0.042,0.024,0.025,0.019,0.022,0.033,0.022,0.028,0.023,0.026,0.021,0.025,0.031,0.03,0.027,0.025,0.02,0.026,0.036,0.058,0.035,0.04,1022222.0,1263947.935139
29334,0.021,0.027,0.021,0.04,0.052,0.03,0.025,0.028,0.032,0.032,0.041,0.04,0.039,0.028,0.025,0.023,0.025,0.042,0.02,0.04,0.025,0.029,0.022,0.026,0.025,0.032,0.031,0.027,0.022,0.03,0.049,0.067,0.034,0.035,1019809.0,1206567.333291
29335,0.023,0.021,0.024,0.03,0.027,0.029,0.026,0.027,0.026,0.03,0.033,0.031,0.043,0.025,0.027,0.017,0.022,0.03,0.022,0.032,0.025,0.025,0.021,0.026,0.034,0.027,0.028,0.027,0.024,0.025,0.053,0.072,0.024,0.036,1134131.0,1385868.931057
29336,0.017,0.018,0.021,0.035,0.027,0.028,0.021,0.034,0.025,0.028,0.039,0.032,0.029,0.025,0.028,0.021,0.022,0.024,0.02,0.03,0.02,0.027,0.019,0.024,0.024,0.024,0.029,0.024,0.022,0.021,0.037,0.05,0.023,0.035,1140483.0,1382949.817483
29337,0.016,0.02,0.021,0.033,0.03,0.036,0.025,0.032,0.033,0.035,0.037,0.035,0.035,0.026,0.024,0.02,0.021,0.032,0.029,0.032,0.023,0.026,0.021,0.025,0.029,0.029,0.025,0.025,0.023,0.023,0.045,0.073,0.031,0.034,1238737.0,1469677.841257
29338,0.021,0.025,0.024,0.041,0.041,0.033,0.025,0.029,0.031,0.031,0.034,0.034,0.036,0.023,0.019,0.024,0.024,0.032,0.029,0.033,0.027,0.028,0.027,0.023,0.034,0.031,0.028,0.026,0.022,0.031,0.054,0.066,0.038,0.04,1300026.0,1568329.486041
29339,0.021,0.024,0.022,0.034,0.048,0.03,0.024,0.032,0.028,0.03,0.036,0.039,0.028,0.018,0.033,0.024,0.024,0.031,0.019,0.031,0.022,0.025,0.02,0.022,0.03,0.027,0.025,0.022,0.017,0.024,0.038,0.055,0.025,0.037,1142334.0,1344324.604391
29340,0.018,0.016,0.024,0.028,0.03,0.025,0.024,0.03,0.029,0.031,0.031,0.032,0.032,0.025,0.019,0.024,0.021,0.034,0.02,0.032,0.022,0.023,0.022,0.024,0.03,0.03,0.027,0.023,0.021,0.023,0.042,0.039,0.029,0.033,1504331.0,1720475.020893
29341,0.016,0.022,0.023,0.029,0.04,0.029,0.025,0.03,0.027,0.03,0.037,0.031,0.033,0.029,0.024,0.022,0.025,0.034,0.027,0.027,0.024,0.03,0.021,0.024,0.037,0.037,0.028,0.024,0.021,0.024,0.076,0.041,0.022,0.028,1384668.0,1657747.846517
29342,0.018,0.025,0.027,0.038,0.047,0.032,0.025,0.029,0.031,0.032,0.046,0.04,0.039,0.025,0.024,0.022,0.017,0.033,0.023,0.035,0.026,0.026,0.024,0.024,0.03,0.028,0.028,0.026,0.019,0.027,0.044,0.069,0.039,0.037,1255497.0,1462374.238468
29343,0.018,0.024,0.022,0.038,0.027,0.029,0.023,0.03,0.026,0.028,0.034,0.033,0.037,0.025,0.024,0.02,0.021,0.032,0.019,0.026,0.023,0.025,0.018,0.024,0.036,0.03,0.026,0.022,0.021,0.028,0.06,0.044,0.04,0.031,1193013.0,1452150.495029
29344,0.012,0.02,0.018,0.032,0.039,0.024,0.023,0.026,0.025,0.026,0.039,0.03,0.037,0.021,0.024,0.027,0.025,0.033,0.017,0.029,0.02,0.025,0.018,0.026,0.03,0.028,0.026,0.023,0.02,0.02,0.034,0.034,0.025,0.032,1195955.0,1465562.305348
29345,0.017,0.02,0.024,0.031,0.05,0.029,0.025,0.028,0.026,0.029,0.041,0.034,0.033,0.027,0.028,0.018,0.024,0.04,0.024,0.032,0.026,0.022,0.021,0.025,0.033,0.027,0.03,0.022,0.026,0.024,0.036,0.036,0.038,0.027,1388980.0,1698101.368667
29346,0.018,0.017,0.021,0.032,0.047,0.025,0.022,0.027,0.026,0.029,0.032,0.031,0.035,0.023,0.029,0.017,0.018,0.03,0.026,0.031,0.022,0.025,0.018,0.025,0.031,0.028,0.026,0.025,0.02,0.023,0.043,0.051,0.033,0.027,1233702.0,1532591.795382
29347,0.016,0.027,0.026,0.028,0.052,0.031,0.025,0.034,0.027,0.035,0.042,0.039,0.039,0.027,0.024,0.028,0.025,0.046,0.03,0.038,0.023,0.028,0.023,0.03,0.035,0.032,0.029,0.023,0.025,0.026,0.059,0.046,0.031,0.037,1322096.0,1592676.796219
29348,0.02,0.013,0.019,0.031,0.029,0.024,0.021,0.027,0.024,0.027,0.03,0.029,0.027,0.02,0.019,0.016,0.018,0.023,0.016,0.025,0.019,0.02,0.019,0.021,0.02,0.023,0.019,0.022,0.017,0.021,0.041,0.051,0.02,0.025,1366080.0,1613430.234842
29349,0.017,0.018,0.018,0.029,0.047,0.031,0.024,0.038,0.029,0.027,0.036,0.034,0.034,0.025,0.024,0.018,0.018,0.031,0.021,0.032,0.024,0.023,0.018,0.022,0.036,0.023,0.026,0.022,0.02,0.024,0.038,0.066,0.029,0.027,1244835.0,1491894.228806
29350,0.015,0.026,0.019,0.028,0.027,0.026,0.021,0.021,0.023,0.024,0.028,0.032,0.036,0.02,0.026,0.015,0.018,0.024,0.02,0.032,0.02,0.023,0.018,0.021,0.034,0.026,0.026,0.019,0.019,0.023,0.061,0.07,0.031,0.028,1294988.0,1546666.967299
29351,0.015,0.014,0.016,0.031,0.03,0.029,0.024,0.028,0.03,0.026,0.034,0.024,0.034,0.019,0.022,0.019,0.018,0.025,0.022,0.023,0.024,0.019,0.018,0.022,0.029,0.026,0.023,0.02,0.019,0.02,0.036,0.054,0.031,0.028,1135378.0,1286836.441878
29352,0.023,0.025,0.036,0.049,0.057,0.048,0.036,0.045,0.031,0.047,0.049,0.056,0.045,0.031,0.034,0.035,0.044,0.059,0.04,0.046,0.04,0.034,0.037,0.042,0.039,0.049,0.042,0.039,0.032,0.043,0.085,0.054,0.04,0.038,1021253.0,1394140.986095
