lh.aparc.gauscurv,lh_bankssts_gauscurv,lh_caudalanteriorcingulate_gauscurv,lh_caudalmiddlefrontal_gauscurv,lh_cuneus_gauscurv,lh_entorhinal_gauscurv,lh_fusiform_gauscurv,lh_inferiorparietal_gauscurv,lh_inferiortemporal_gauscurv,lh_isthmuscingulate_gauscurv,lh_lateraloccipital_gauscurv,lh_lateralorbitofrontal_gauscurv,lh_lingual_gauscurv,lh_medialorbitofrontal_gauscurv,lh_middletemporal_gauscurv,lh_parahippocampal_gauscurv,lh_paracentral_gauscurv,lh_parsopercularis_gauscurv,lh_parsorbitalis_gauscurv,lh_parstriangularis_gauscurv,lh_pericalcarine_gauscurv,lh_postcentral_gauscurv,lh_posteriorcingulate_gauscurv,lh_precentral_gauscurv,lh_precuneus_gauscurv,lh_rostralanteriorcingulate_gauscurv,lh_rostralmiddlefrontal_gauscurv,lh_superiorfrontal_gauscurv,lh_superiorparietal_gauscurv,lh_superiortemporal_gauscurv,lh_supramarginal_gauscurv,lh_frontalpole_gauscurv,lh_temporalpole_gauscurv,lh_transversetemporal_gauscurv,lh_insula_gauscurv,BrainSegVolNotVent,eTIV
50728,0.017,0.012,0.02,0.027,0.029,0.021,0.02,0.029,0.023,0.027,0.027,0.023,0.034,0.025,0.014,0.015,0.017,0.026,0.021,0.025,0.019,0.019,0.016,0.02,0.024,0.026,0.021,0.02,0.017,0.023,0.041,0.043,0.024,0.025,1139537.0,1285158.658278
50730,0.013,0.014,0.021,0.032,0.025,0.022,0.027,0.026,0.03,0.033,0.037,0.027,0.038,0.03,0.028,0.02,0.03,0.038,0.027,0.032,0.024,0.024,0.022,0.029,0.031,0.035,0.029,0.026,0.026,0.035,0.071,0.057,0.025,0.026,1141688.0,1471585.186554
50731,0.017,0.013,0.018,0.03,0.02,0.02,0.021,0.02,0.025,0.027,0.024,0.029,0.036,0.018,0.012,0.021,0.017,0.022,0.021,0.031,0.018,0.026,0.015,0.025,0.029,0.025,0.019,0.021,0.019,0.019,0.031,0.024,0.023,0.022,1281878.0,1766922.571442
50732,0.02,0.013,0.021,0.03,0.022,0.022,0.022,0.024,0.031,0.031,0.027,0.029,0.03,0.028,0.015,0.016,0.022,0.031,0.022,0.026,0.021,0.019,0.018,0.02,0.027,0.026,0.023,0.022,0.02,0.022,0.03,0.035,0.021,0.024,1347246.0,1736677.524046
50733,0.013,0.019,0.019,0.032,0.031,0.022,0.02,0.027,0.023,0.026,0.027,0.03,0.028,0.021,0.026,0.015,0.02,0.024,0.023,0.031,0.019,0.021,0.017,0.02,0.036,0.026,0.021,0.018,0.018,0.022,0.041,0.026,0.023,0.028,1199614.0,1511151.360525
50734,0.017,0.017,0.02,0.027,0.019,0.022,0.022,0.025,0.026,0.028,0.023,0.032,0.026,0.023,0.024,0.02,0.023,0.028,0.022,0.024,0.021,0.024,0.019,0.021,0.023,0.027,0.023,0.022,0.02,0.027,0.037,0.026,0.039,0.041,1173269.0,1369088.26766
50735,0.022,0.025,0.02,0.035,0.023,0.023,0.025,0.027,0.025,0.03,0.024,0.033,0.037,0.027,0.019,0.019,0.021,0.033,0.026,0.032,0.022,0.019,0.019,0.021,0.041,0.032,0.022,0.024,0.021,0.024,0.055,0.028,0.028,0.025,1019981.0,1145610.485258
50736,0.019,0.015,0.02,0.031,0.024,0.028,0.028,0.031,0.022,0.031,0.032,0.037,0.037,0.033,0.019,0.017,0.023,0.047,0.027,0.039,0.022,0.023,0.02,0.023,0.032,0.038,0.027,0.028,0.021,0.023,0.07,0.052,0.024,0.03,1076472.0,1406908.597843
50737,0.011,0.019,0.02,0.03,0.025,0.026,0.026,0.026,0.028,0.031,0.027,0.031,0.046,0.027,0.015,0.016,0.022,0.034,0.019,0.033,0.02,0.018,0.018,0.021,0.027,0.036,0.024,0.028,0.017,0.032,0.048,0.032,0.021,0.023,1363320.0,1607418.681726
50738,0.015,0.033,0.025,0.04,0.026,0.025,0.028,0.028,0.03,0.032,0.032,0.031,0.04,0.03,0.02,0.016,0.032,0.028,0.027,0.026,0.028,0.02,0.023,0.027,0.027,0.033,0.026,0.028,0.025,0.03,0.066,0.045,0.037,0.029,1281035.0,1579948.238673
50739,0.014,0.014,0.018,0.033,0.023,0.021,0.024,0.025,0.026,0.028,0.03,0.028,0.033,0.022,0.016,0.018,0.021,0.024,0.022,0.037,0.021,0.022,0.019,0.025,0.027,0.036,0.025,0.021,0.018,0.028,0.043,0.03,0.025,0.026,1395783.0,1742374.858003
50740,0.021,0.014,0.02,0.035,0.024,0.022,0.023,0.027,0.022,0.029,0.03,0.031,0.032,0.028,0.017,0.014,0.023,0.042,0.025,0.034,0.02,0.019,0.017,0.025,0.026,0.033,0.025,0.025,0.017,0.028,0.06,0.044,0.022,0.027,1279949.0,1568797.267389
50741,0.019,0.015,0.02,0.035,0.022,0.022,0.026,0.026,0.027,0.029,0.034,0.029,0.036,0.025,0.016,0.016,0.022,0.029,0.023,0.036,0.021,0.018,0.018,0.026,0.027,0.027,0.024,0.023,0.021,0.022,0.036,0.038,0.018,0.029,1258821.0,1532688.963712
50742,0.014,0.019,0.019,0.031,0.025,0.025,0.024,0.028,0.035,0.033,0.027,0.036,0.038,0.029,0.018,0.017,0.021,0.023,0.023,0.03,0.022,0.022,0.019,0.02,0.031,0.029,0.026,0.019,0.02,0.023,0.056,0.033,0.028,0.033,1309299.0,1472667.57772
50743,0.012,0.016,0.017,0.031,0.019,0.022,0.018,0.023,0.025,0.024,0.032,0.026,0.028,0.025,0.018,0.013,0.016,0.027,0.022,0.031,0.02,0.018,0.017,0.019,0.021,0.026,0.023,0.018,0.018,0.026,0.037,0.028,0.014,0.026,1125986.0,1402953.791386
50744,0.023,0.023,0.027,0.063,0.07,0.034,0.044,0.035,0.029,0.067,0.045,0.052,0.037,0.042,0.036,0.023,0.042,0.043,0.036,0.033,0.034,0.032,0.024,0.039,0.051,0.048,0.036,0.042,0.038,0.046,0.077,0.067,0.026,0.032,997715.0,1417185.004459
50745,0.019,0.017,0.024,0.037,0.033,0.03,0.03,0.038,0.022,0.042,0.032,0.034,0.036,0.036,0.02,0.022,0.024,0.039,0.027,0.026,0.027,0.024,0.022,0.025,0.034,0.04,0.032,0.027,0.024,0.036,0.07,0.053,0.015,0.026,1136666.0,1447954.180535
50746,0.023,0.027,0.022,0.034,0.036,0.03,0.027,0.032,0.025,0.03,0.043,0.032,0.041,0.032,0.027,0.019,0.025,0.034,0.036,0.029,0.03,0.032,0.023,0.025,0.036,0.044,0.031,0.027,0.026,0.037,0.06,0.042,0.022,0.03,1138456.0,1426483.117163
50747,0.017,0.021,0.019,0.04,0.031,0.026,0.024,0.025,0.034,0.03,0.031,0.031,0.04,0.022,0.016,0.016,0.023,0.033,0.025,0.031,0.023,0.019,0.019,0.025,0.032,0.031,0.023,0.02,0.02,0.024,0.035,0.041,0.029,0.029,1316956.0,1454400.543855
50748,0.011,0.027,0.018,0.025,0.03,0.02,0.025,0.022,0.021,0.028,0.028,0.029,0.033,0.022,0.016,0.015,0.02,0.027,0.024,0.031,0.018,0.02,0.017,0.021,0.027,0.031,0.024,0.019,0.02,0.023,0.042,0.045,0.017,0.022,1185657.0,1465560.070982
50749,0.013,0.017,0.021,0.032,0.035,0.028,0.022,0.028,0.032,0.031,0.031,0.032,0.036,0.025,0.031,0.018,0.019,0.03,0.021,0.028,0.017,0.017,0.017,0.021,0.032,0.03,0.024,0.021,0.018,0.024,0.036,0.038,0.025,0.029,1193021.0,1391197.261758
50750,0.021,0.018,0.027,0.033,0.028,0.029,0.026,0.03,0.031,0.031,0.042,0.031,0.028,0.029,0.017,0.024,0.022,0.034,0.022,0.034,0.029,0.028,0.022,0.029,0.034,0.035,0.029,0.026,0.021,0.027,0.043,0.041,0.022,0.028,1269861.0,1556812.146264
50751,0.02,0.019,0.023,0.037,0.02,0.024,0.026,0.029,0.026,0.035,0.032,0.036,0.038,0.029,0.014,0.021,0.026,0.028,0.027,0.034,0.024,0.028,0.022,0.025,0.036,0.032,0.028,0.027,0.022,0.031,0.032,0.05,0.023,0.025,1135880.0,1349529.460048
50752,0.016,0.013,0.02,0.035,0.033,0.027,0.026,0.03,0.024,0.035,0.03,0.029,0.031,0.023,0.023,0.019,0.016,0.028,0.022,0.027,0.021,0.027,0.017,0.026,0.033,0.028,0.021,0.022,0.021,0.027,0.041,0.026,0.028,0.027,1216962.0,1524584.198022
50753,0.018,0.018,0.02,0.038,0.028,0.025,0.023,0.026,0.03,0.029,0.029,0.032,0.036,0.023,0.03,0.016,0.021,0.029,0.02,0.03,0.022,0.025,0.017,0.025,0.026,0.029,0.022,0.021,0.02,0.025,0.048,0.037,0.031,0.027,1247471.0,1646316.856876
50754,0.017,0.014,0.023,0.035,0.038,0.027,0.027,0.028,0.026,0.031,0.029,0.028,0.047,0.028,0.022,0.017,0.022,0.028,0.021,0.026,0.027,0.03,0.022,0.024,0.036,0.037,0.029,0.025,0.022,0.03,0.059,0.046,0.03,0.022,1335160.0,1711618.948674
50755,0.019,0.011,0.021,0.033,0.026,0.023,0.028,0.035,0.028,0.032,0.027,0.027,0.036,0.025,0.022,0.017,0.018,0.036,0.026,0.022,0.022,0.022,0.018,0.021,0.02,0.034,0.026,0.024,0.021,0.023,0.039,0.038,0.02,0.026,1253224.0,1520970.960781
50756,0.019,0.013,0.019,0.028,0.029,0.025,0.022,0.023,0.022,0.028,0.035,0.031,0.039,0.026,0.017,0.014,0.019,0.028,0.019,0.031,0.022,0.02,0.018,0.025,0.032,0.03,0.023,0.022,0.019,0.021,0.058,0.051,0.023,0.03,1314345.0,1772506.985779
50757,0.02,0.015,0.018,0.025,0.024,0.024,0.024,0.035,0.023,0.036,0.03,0.028,0.039,0.026,0.019,0.014,0.023,0.028,0.022,0.027,0.022,0.024,0.02,0.02,0.028,0.033,0.024,0.022,0.022,0.027,0.05,0.034,0.014,0.029,1113718.0,1432441.288687
50772,0.011,0.021,0.024,0.033,0.032,0.025,0.023,0.024,0.025,0.027,0.036,0.031,0.031,0.023,0.024,0.021,0.021,0.038,0.021,0.03,0.023,0.022,0.022,0.021,0.03,0.03,0.028,0.024,0.02,0.025,0.036,0.056,0.033,0.035,1283676.0,1637978.23751
50773,0.013,0.019,0.023,0.032,0.028,0.024,0.022,0.029,0.028,0.028,0.029,0.037,0.026,0.023,0.022,0.018,0.021,0.023,0.025,0.038,0.019,0.026,0.017,0.021,0.038,0.029,0.026,0.022,0.019,0.022,0.043,0.041,0.019,0.03,1340659.0,1650453.658082
50774,0.019,0.018,0.019,0.03,0.022,0.023,0.019,0.021,0.03,0.028,0.032,0.03,0.031,0.02,0.021,0.018,0.02,0.028,0.019,0.026,0.02,0.023,0.017,0.021,0.034,0.025,0.023,0.021,0.021,0.021,0.036,0.039,0.021,0.028,1364033.0,1679741.491329
50775,0.015,0.02,0.023,0.03,0.041,0.027,0.024,0.026,0.023,0.029,0.03,0.035,0.03,0.028,0.031,0.018,0.022,0.038,0.024,0.031,0.025,0.023,0.022,0.026,0.03,0.027,0.03,0.023,0.026,0.025,0.035,0.035,0.032,0.034,1379029.0,1698290.898462
50776,0.016,0.023,0.021,0.037,0.035,0.027,0.021,0.026,0.028,0.027,0.039,0.031,0.037,0.027,0.018,0.021,0.022,0.038,0.028,0.031,0.026,0.022,0.021,0.026,0.051,0.037,0.029,0.024,0.023,0.025,0.049,0.049,0.042,0.03,1154708.0,1413807.67877
50777,0.014,0.022,0.019,0.035,0.027,0.024,0.023,0.024,0.029,0.028,0.03,0.031,0.038,0.026,0.023,0.018,0.023,0.035,0.024,0.029,0.019,0.022,0.019,0.024,0.036,0.028,0.025,0.021,0.018,0.024,0.032,0.04,0.029,0.032,1436714.0,1657121.838203
50778,0.014,0.015,0.018,0.038,0.022,0.024,0.018,0.025,0.028,0.03,0.031,0.028,0.029,0.024,0.02,0.019,0.019,0.024,0.016,0.031,0.021,0.02,0.018,0.023,0.031,0.026,0.023,0.02,0.019,0.024,0.045,0.041,0.022,0.031,1128635.0,1287294.825876
50779,0.028,0.034,0.039,0.048,0.051,0.041,0.039,0.039,0.031,0.042,0.049,0.053,0.05,0.033,0.027,0.03,0.033,0.06,0.037,0.054,0.045,0.03,0.036,0.036,0.039,0.05,0.044,0.041,0.03,0.042,0.058,0.051,0.042,0.042,1022168.0,1386527.401307
50780,0.015,0.022,0.022,0.027,0.029,0.027,0.021,0.031,0.027,0.028,0.04,0.038,0.036,0.03,0.017,0.026,0.021,0.046,0.034,0.039,0.024,0.028,0.02,0.026,0.038,0.033,0.031,0.024,0.021,0.023,0.055,0.071,0.034,0.034,1218357.0,1521164.922179
50781,0.018,0.018,0.019,0.033,0.033,0.025,0.024,0.029,0.029,0.033,0.03,0.032,0.035,0.022,0.021,0.02,0.017,0.03,0.02,0.028,0.02,0.019,0.016,0.024,0.032,0.026,0.023,0.019,0.018,0.023,0.036,0.033,0.029,0.03,1254894.0,1431603.666026
50782,0.011,0.019,0.016,0.036,0.026,0.023,0.022,0.019,0.025,0.029,0.028,0.034,0.034,0.02,0.024,0.019,0.019,0.03,0.022,0.023,0.02,0.026,0.017,0.019,0.033,0.026,0.023,0.02,0.018,0.021,0.051,0.052,0.027,0.038,1207692.0,1500392.138642
50783,0.019,0.024,0.022,0.032,0.024,0.024,0.023,0.027,0.026,0.027,0.041,0.034,0.035,0.02,0.021,0.019,0.02,0.03,0.022,0.032,0.022,0.026,0.018,0.026,0.018,0.025,0.028,0.023,0.018,0.024,0.038,0.048,0.024,0.035,1147012.0,1377280.177091
50784,0.018,0.015,0.029,0.032,0.063,0.032,0.026,0.028,0.024,0.034,0.033,0.043,0.035,0.023,0.022,0.022,0.025,0.037,0.022,0.029,0.023,0.02,0.022,0.028,0.023,0.034,0.028,0.032,0.02,0.024,0.055,0.05,0.023,0.033,1149638.0,1346686.914875
50785,0.042,0.045,0.054,0.054,0.063,0.047,0.039,0.058,0.04,0.049,0.043,0.061,0.043,0.062,0.061,0.044,0.04,0.075,0.061,0.038,0.062,0.035,0.058,0.033,0.046,0.051,0.047,0.045,0.061,0.054,0.052,0.076,0.039,0.025,984811.0,1538427.275054
50786,0.019,0.014,0.02,0.033,0.044,0.025,0.024,0.031,0.025,0.029,0.031,0.026,0.032,0.022,0.024,0.02,0.023,0.034,0.019,0.022,0.026,0.026,0.021,0.025,0.03,0.029,0.026,0.027,0.016,0.024,0.049,0.038,0.013,0.026,1264321.0,1454716.961904
50787,0.012,0.02,0.025,0.039,0.048,0.027,0.022,0.04,0.026,0.033,0.038,0.038,0.051,0.03,0.019,0.027,0.033,0.046,0.03,0.034,0.026,0.028,0.024,0.026,0.032,0.033,0.029,0.025,0.021,0.026,0.041,0.057,0.032,0.033,1210753.0,1423920.673341
50788,0.018,0.027,0.019,0.039,0.038,0.027,0.023,0.027,0.03,0.032,0.036,0.037,0.033,0.021,0.026,0.027,0.022,0.036,0.022,0.042,0.023,0.026,0.021,0.027,0.036,0.032,0.026,0.025,0.019,0.023,0.035,0.042,0.033,0.039,1256777.0,1516829.616553
50789,0.026,0.017,0.029,0.046,0.067,0.039,0.032,0.038,0.027,0.034,0.035,0.039,0.034,0.034,0.024,0.026,0.026,0.052,0.036,0.033,0.03,0.027,0.028,0.032,0.028,0.036,0.034,0.032,0.027,0.031,0.063,0.054,0.033,0.03,1308836.0,1694137.139141
50790,0.013,0.026,0.021,0.035,0.05,0.027,0.018,0.026,0.024,0.027,0.038,0.032,0.035,0.022,0.023,0.014,0.015,0.028,0.019,0.028,0.022,0.02,0.017,0.022,0.034,0.024,0.022,0.022,0.024,0.021,0.034,0.054,0.027,0.031,1005499.0,1297793.608104
50791,0.016,0.019,0.018,0.031,0.029,0.027,0.021,0.027,0.03,0.027,0.034,0.035,0.029,0.024,0.03,0.019,0.025,0.034,0.021,0.025,0.019,0.026,0.018,0.024,0.036,0.026,0.024,0.022,0.019,0.025,0.031,0.053,0.018,0.039,1443865.0,1697480.311042
50792,0.015,0.028,0.032,0.046,0.056,0.031,0.032,0.033,0.03,0.047,0.043,0.037,0.044,0.035,0.026,0.026,0.022,0.049,0.032,0.049,0.03,0.031,0.025,0.036,0.029,0.042,0.031,0.033,0.024,0.029,0.052,0.059,0.02,0.034,1294380.0,1634583.855812
50793,0.018,0.019,0.023,0.04,0.029,0.027,0.022,0.026,0.022,0.025,0.035,0.03,0.032,0.024,0.015,0.018,0.022,0.037,0.023,0.027,0.02,0.017,0.018,0.02,0.032,0.027,0.024,0.022,0.019,0.021,0.033,0.032,0.025,0.029,1166876.0,1359474.606312
50794,0.022,0.018,0.027,0.039,0.033,0.03,0.029,0.032,0.031,0.037,0.038,0.038,0.038,0.031,0.024,0.026,0.026,0.042,0.027,0.031,0.031,0.029,0.027,0.027,0.035,0.04,0.033,0.026,0.024,0.026,0.056,0.062,0.043,0.038,1182558.0,1496947.650972
50795,0.022,0.015,0.029,0.037,0.031,0.03,0.03,0.029,0.029,0.03,0.038,0.034,0.028,0.027,0.041,0.027,0.026,0.041,0.023,0.028,0.027,0.028,0.025,0.029,0.043,0.03,0.029,0.03,0.02,0.025,0.065,0.035,0.04,0.038,1252921.0,1566379.017065
50796,0.021,0.02,0.02,0.037,0.047,0.025,0.024,0.027,0.028,0.03,0.035,0.034,0.036,0.026,0.027,0.02,0.02,0.045,0.018,0.021,0.026,0.022,0.02,0.024,0.033,0.034,0.026,0.024,0.022,0.027,0.048,0.032,0.032,0.031,1135039.0,1476184.037316
50797,0.019,0.016,0.024,0.035,0.036,0.027,0.023,0.028,0.035,0.028,0.036,0.035,0.028,0.026,0.029,0.027,0.025,0.038,0.027,0.025,0.027,0.023,0.027,0.026,0.039,0.033,0.025,0.024,0.021,0.026,0.056,0.042,0.036,0.04,1274718.0,1432999.997233
50798,0.016,0.023,0.019,0.035,0.024,0.024,0.019,0.023,0.027,0.026,0.033,0.031,0.035,0.019,0.019,0.019,0.022,0.028,0.019,0.034,0.02,0.027,0.019,0.023,0.047,0.026,0.024,0.023,0.019,0.019,0.04,0.047,0.023,0.03,1411634.0,1632702.202668
50799,0.016,0.028,0.021,0.038,0.06,0.031,0.026,0.03,0.027,0.033,0.041,0.035,0.027,0.028,0.026,0.022,0.027,0.035,0.024,0.026,0.026,0.023,0.023,0.029,0.032,0.03,0.029,0.028,0.02,0.028,0.045,0.04,0.032,0.035,1209703.0,1504981.663868
50800,0.013,0.016,0.019,0.036,0.038,0.032,0.03,0.03,0.031,0.032,0.034,0.042,0.03,0.025,0.021,0.025,0.021,0.033,0.023,0.035,0.022,0.028,0.02,0.03,0.029,0.027,0.026,0.026,0.021,0.027,0.037,0.042,0.029,0.031,1654478.0,2010473.742706
50801,0.019,0.021,0.027,0.032,0.025,0.029,0.024,0.026,0.03,0.031,0.034,0.035,0.032,0.026,0.028,0.023,0.026,0.035,0.028,0.029,0.024,0.025,0.022,0.029,0.03,0.033,0.027,0.022,0.02,0.026,0.054,0.04,0.026,0.037,1232509.0,1478595.657962
50802,0.017,0.017,0.018,0.037,0.041,0.029,0.021,0.026,0.028,0.028,0.032,0.035,0.033,0.022,0.023,0.023,0.022,0.03,0.024,0.037,0.025,0.028,0.02,0.024,0.037,0.027,0.025,0.026,0.019,0.025,0.035,0.032,0.029,0.029,1281587.0,1503706.249341
50803,0.019,0.014,0.019,0.031,0.023,0.025,0.02,0.022,0.024,0.028,0.035,0.032,0.029,0.021,0.029,0.021,0.024,0.034,0.022,0.033,0.022,0.021,0.019,0.024,0.027,0.027,0.025,0.021,0.022,0.022,0.045,0.033,0.02,0.035,1291574.0,1615115.565835
50804,0.018,0.022,0.023,0.036,0.033,0.026,0.026,0.027,0.028,0.03,0.03,0.031,0.026,0.024,0.019,0.024,0.024,0.03,0.026,0.024,0.024,0.021,0.021,0.025,0.03,0.029,0.024,0.026,0.019,0.025,0.042,0.03,0.025,0.029,1333867.0,1603599.178987
50805,0.013,0.016,0.022,0.031,0.044,0.027,0.02,0.024,0.026,0.028,0.028,0.032,0.032,0.02,0.018,0.02,0.018,0.031,0.018,0.029,0.021,0.027,0.019,0.026,0.028,0.025,0.023,0.022,0.017,0.024,0.035,0.05,0.019,0.037,1347635.0,1642847.729464
50806,0.026,0.023,0.035,0.039,0.028,0.029,0.031,0.034,0.026,0.034,0.043,0.041,0.039,0.036,0.02,0.028,0.034,0.039,0.026,0.036,0.04,0.027,0.035,0.027,0.04,0.04,0.036,0.033,0.028,0.036,0.052,0.071,0.051,0.025,1156234.0,1392884.022411
50807,0.012,0.016,0.019,0.033,0.03,0.022,0.02,0.026,0.025,0.028,0.035,0.034,0.032,0.019,0.029,0.014,0.022,0.033,0.022,0.033,0.018,0.019,0.019,0.018,0.025,0.027,0.021,0.021,0.02,0.019,0.036,0.045,0.022,0.034,1255972.0,1396255.64783
50808,0.012,0.021,0.021,0.031,0.019,0.025,0.02,0.029,0.026,0.031,0.03,0.033,0.026,0.023,0.022,0.019,0.019,0.028,0.024,0.021,0.023,0.024,0.019,0.024,0.033,0.028,0.024,0.021,0.02,0.022,0.042,0.048,0.037,0.036,1307991.0,1504555.592761
50809,0.019,0.017,0.02,0.035,0.036,0.027,0.023,0.028,0.024,0.033,0.039,0.035,0.028,0.028,0.02,0.021,0.024,0.033,0.023,0.031,0.024,0.021,0.02,0.022,0.023,0.027,0.026,0.022,0.02,0.023,0.032,0.05,0.024,0.038,1338810.0,1620920.095285
50810,0.017,0.021,0.02,0.039,0.041,0.03,0.025,0.028,0.027,0.03,0.036,0.037,0.034,0.025,0.027,0.023,0.022,0.034,0.021,0.034,0.023,0.026,0.021,0.023,0.033,0.027,0.026,0.023,0.024,0.025,0.048,0.037,0.02,0.028,1224829.0,1540922.786428
50811,0.013,0.017,0.023,0.032,0.024,0.025,0.021,0.026,0.03,0.028,0.03,0.028,0.031,0.022,0.023,0.023,0.021,0.037,0.024,0.024,0.021,0.025,0.021,0.02,0.033,0.031,0.024,0.021,0.02,0.02,0.052,0.04,0.018,0.036,1377332.0,1767719.582712
50812,0.021,0.021,0.023,0.037,0.052,0.025,0.022,0.031,0.024,0.031,0.033,0.034,0.037,0.029,0.025,0.022,0.029,0.033,0.03,0.032,0.022,0.024,0.019,0.027,0.034,0.031,0.029,0.022,0.023,0.029,0.041,0.057,0.031,0.042,1170506.0,1438650.408264
50813,0.015,0.022,0.022,0.041,0.027,0.026,0.022,0.025,0.031,0.026,0.032,0.036,0.035,0.029,0.021,0.019,0.017,0.03,0.02,0.03,0.022,0.024,0.019,0.028,0.027,0.03,0.027,0.022,0.022,0.025,0.08,0.034,0.03,0.028,1109936.0,1346414.855612
50814,0.015,0.014,0.021,0.035,0.047,0.023,0.022,0.024,0.031,0.028,0.03,0.032,0.026,0.024,0.018,0.018,0.021,0.022,0.02,0.024,0.022,0.023,0.02,0.025,0.023,0.025,0.025,0.023,0.02,0.021,0.045,0.039,0.03,0.033,1391039.0,1685575.887021
50815,0.043,0.02,0.055,0.058,0.048,0.074,0.054,0.053,0.051,0.049,0.043,0.063,0.042,0.068,0.052,0.06,0.053,0.059,0.061,0.063,0.067,0.051,0.058,0.051,0.04,0.054,0.056,0.047,0.049,0.051,0.058,0.093,0.062,0.03,972977.0,1605625.045829
50816,0.019,0.038,0.024,0.038,0.039,0.033,0.027,0.026,0.036,0.032,0.037,0.035,0.031,0.031,0.024,0.022,0.029,0.034,0.024,0.04,0.024,0.029,0.023,0.025,0.041,0.033,0.031,0.026,0.027,0.029,0.043,0.046,0.034,0.037,1166184.0,1392774.095471
50817,0.018,0.013,0.021,0.035,0.033,0.028,0.025,0.027,0.024,0.029,0.033,0.035,0.035,0.023,0.022,0.019,0.025,0.033,0.025,0.027,0.022,0.022,0.019,0.029,0.032,0.029,0.027,0.025,0.018,0.025,0.048,0.031,0.032,0.038,1291079.0,1546515.036499
50818,0.018,0.02,0.022,0.041,0.029,0.037,0.023,0.027,0.031,0.028,0.032,0.032,0.027,0.021,0.03,0.022,0.022,0.034,0.021,0.035,0.023,0.026,0.019,0.028,0.034,0.028,0.023,0.021,0.018,0.025,0.05,0.031,0.03,0.028,1138346.0,792150.917787
50819,0.02,0.016,0.021,0.032,0.044,0.026,0.022,0.027,0.027,0.029,0.026,0.034,0.03,0.022,0.028,0.018,0.019,0.032,0.024,0.029,0.022,0.024,0.018,0.027,0.026,0.028,0.027,0.024,0.021,0.022,0.042,0.055,0.032,0.034,1230010.0,1530802.136771
50820,0.018,0.012,0.019,0.03,0.036,0.024,0.021,0.026,0.029,0.026,0.032,0.034,0.033,0.024,0.018,0.022,0.021,0.026,0.021,0.03,0.025,0.021,0.02,0.022,0.023,0.024,0.025,0.022,0.018,0.023,0.036,0.037,0.035,0.031,1279282.0,1541573.123487
50821,0.016,0.018,0.021,0.039,0.028,0.027,0.025,0.03,0.028,0.03,0.032,0.034,0.026,0.026,0.024,0.02,0.027,0.033,0.022,0.039,0.021,0.026,0.018,0.024,0.045,0.026,0.027,0.024,0.018,0.025,0.024,0.035,0.022,0.036,1164787.0,1299450.419871
50822,0.018,0.015,0.016,0.037,0.025,0.027,0.02,0.024,0.034,0.026,0.033,0.034,0.026,0.024,0.028,0.017,0.022,0.032,0.023,0.025,0.02,0.026,0.018,0.024,0.028,0.028,0.025,0.022,0.017,0.022,0.034,0.028,0.025,0.038,1141410.0,1433765.159731
50823,0.017,0.017,0.02,0.036,0.029,0.029,0.024,0.03,0.025,0.029,0.025,0.03,0.034,0.023,0.019,0.02,0.023,0.028,0.023,0.026,0.024,0.024,0.019,0.023,0.022,0.03,0.027,0.025,0.018,0.025,0.041,0.056,0.022,0.048,1235633.0,1503443.818389
50824,0.023,0.032,0.022,0.038,0.037,0.033,0.025,0.031,0.035,0.031,0.041,0.043,0.035,0.032,0.033,0.026,0.026,0.038,0.019,0.034,0.026,0.028,0.026,0.029,0.039,0.036,0.031,0.029,0.024,0.03,0.041,0.035,0.042,0.037,1376710.0,1708492.971209
50825,0.034,0.026,0.031,0.056,0.053,0.048,0.04,0.036,0.043,0.05,0.046,0.068,0.045,0.036,0.046,0.032,0.025,0.051,0.033,0.063,0.032,0.033,0.03,0.037,0.05,0.037,0.033,0.039,0.036,0.038,0.057,0.056,0.044,0.046,1314918.0,1661877.974197
50826,0.039,0.032,0.048,0.05,0.079,0.067,0.05,0.058,0.054,0.05,0.06,0.059,0.06,0.046,0.046,0.054,0.051,0.066,0.053,0.065,0.047,0.031,0.047,0.058,0.037,0.048,0.05,0.047,0.051,0.052,0.096,0.073,0.047,0.041,1031137.0,1615128.336048
50952,0.025,0.02,0.033,0.043,0.029,0.034,0.029,0.037,0.038,0.039,0.035,0.055,0.036,0.029,0.026,0.029,0.027,0.046,0.028,0.05,0.03,0.036,0.025,0.032,0.031,0.037,0.032,0.03,0.027,0.03,0.056,0.06,0.035,0.041,1162286.0,1466658.096579
50953,0.029,0.02,0.02,0.05,0.028,0.031,0.026,0.035,0.035,0.044,0.031,0.047,0.037,0.028,0.026,0.021,0.024,0.038,0.032,0.043,0.025,0.031,0.021,0.027,0.032,0.032,0.029,0.027,0.019,0.027,0.048,0.033,0.05,0.04,1101332.0,1427236.846771
50954,0.012,0.016,0.022,0.043,0.02,0.03,0.025,0.027,0.024,0.035,0.028,0.034,0.032,0.023,0.016,0.02,0.024,0.033,0.027,0.034,0.025,0.022,0.023,0.023,0.032,0.031,0.025,0.025,0.018,0.022,0.044,0.04,0.027,0.032,972976.0,1023578.248071
50955,0.024,0.022,0.029,0.028,0.059,0.036,0.026,0.023,0.04,0.034,0.031,0.066,0.029,0.032,0.062,0.029,0.026,0.045,0.032,0.037,0.036,0.023,0.029,0.027,0.028,0.034,0.032,0.034,0.023,0.029,0.049,0.059,0.028,0.049,929662.0,1779115.433379
